Date|License|Event Name|Login Code|Report Type|Source File|Failure|Failure Reason|Failure Code|Safety Score|Productivity Score|Maintenance Score|Total Score|Maximum Bucket Height|Number of Collisions Between Bucket And Truck|Number of Times Bucket Passed Over Truck Cabin|Average Bucket Fill Factor|Average Bucket Height|Average Cycle Time|Average Distance Between Bucket And Truck Rail|Average Dumping Height of Material|Average Material Per Pass|Execution Time|Fuel Burned|Highest RPM Speed Setting Used|Number of Buckets to Load Truck|Number of Trucks Loaded|Productivity|Time Spent Stopped|Time Spent Swinging Left|Time Spent Swinging Right|Trucks Incorrectly Spotted|Volume of Material Dumped into Truck|Volume of Material Moved|Number of Bucket Collisions with Ground While Stopped|Number of Bucket Slams|Time Spent Counter Rotating|Time Spent Digging Over Final Drive|Number Of Passes To Move Material
3/7/2026 1:56:00 PM|Construction Simulator Experience|Daytona Bike Week|7744511561|3|EXC - Truck Loading - 07-03-26-13.56.xml|False|||66.67|72.22|25.00|64.00|5.535923|1|0|100.5653|2.324546|4.249334|1.358721|1.959917|6.39626|229.3235|0.9491326|10|9|1|906.2827|186.6078|46.45137|62.74841|0|12.18018|57.73108|6|9|0.8941123|0|
3/7/2026 1:55:00 PM|Construction Simulator Experience|Daytona Bike Week|4077659847|3|EXC - Truck Loading - 07-03-26-13.55.xml|False|||66.67|66.67|25.00|60.00|5.135777|1|0|95.40908|2.435017|5.415844|1.547913|2.234812|4.76841|215.4125|0.8584085|10|6|1|478.6086|172.5323|49.91922|50.48835|0|8.109491|28.6384|10|6|1.357961|0|
3/7/2026 1:50:00 PM|Construction Simulator Experience|Daytona Bike Week|4043075786|3|EXC - Truck Loading - 07-03-26-13.50.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|33.33|25.00|36.00|6.856597|1|0|112.7006|2.603143|30.51414|1.391672|1.934664|14.25918|300.014|1.258044|10|3|1|513.3065|225.2789|18.23914|20.17411|0|4.462294|42.77754|5|2|1.360089|0|
3/7/2026 1:48:00 PM|Construction Simulator Experience|Daytona Bike Week|7276435240|3|EXC - Truck Loading - 07-03-26-13.48.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|27.78|50.00|32.00|6.870373|3|3|96.03499|2.461567|20.94094|0.9366914|1.527197|8.871135|193.741|0.8142888|10|2|1|590.2529|162.2442|14.68872|9.371443|0|0|31.76561|8|3|0|0|
3/7/2026 1:46:00 PM|Construction Simulator Experience|Daytona Bike Week|5135026829|3|EXC - Truck Loading - 07-03-26-13.46.xml|False|||66.67|61.11|50.00|60.00|7.541021|0|0|91.45593|2.609461|6.66807|1.56451|2.366035|3.045993|259.8172|1.088753|10|6|1|422.1012|204.4443|50.92642|43.98591|0|9.592098|30.46366|17|7|0|0|
3/7/2026 1:36:00 PM|Construction Simulator Experience|Daytona Bike Week|5162881562|3|EXC - Truck Loading - 07-03-26-13.36.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|33.33|25.00|36.00|7.683822|0|0|116.9056|2.216838|14.30187|1.252385|1.619303|8.365137|300.3111|1.266235|10|4|1|501.3882|222.2564|19.36176|24.83163|0|5.639477|41.82568|3|6|3.154444|0|
3/7/2026 1:31:00 PM|Construction Simulator Experience|Daytona Bike Week|4075618299|3|EXC - Truck Loading - 07-03-26-13.31.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|100.00|22.22|25.00|32.00|6.668461|0|0|95.92468|2.251084|21.96194|1.173082|1.990656|7.68866|318.6659|1.241382|10|6|3|751.053|272.9262|42.13601|26.96361|2|8.798817|66.48194|6|9|3.840399|0|
3/7/2026 1:30:00 PM|Construction Simulator Experience|Daytona Bike Week|4076843862|3|EXC - Truck Loading - 07-03-26-13.30.xml|False|||66.67|38.89|25.00|40.00|4.912117|0|0|113.8554|1.976712|11.29628|1.393863|1.835476|6.369594|288.5722|1.191146|10|5|1|397.3102|210.7693|48.9569|27.29675|0|7.979455|31.84797|3|6|4.59192|0|
3/7/2026 1:26:00 PM|Construction Simulator Experience|Daytona Bike Week|5183660552|3|EXC - Truck Loading - 07-03-26-13.26.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|11.11|75.00|24.00|5.73415|1|1|131.1821|1.838281|0|0|0|0|136.1314|0.5711841|10|0|1|336.9557|63.46965|4.839104|2.289095|1|0|12.74174|0|0|4.231647|0|
3/7/2026 1:24:00 PM|Construction Simulator Experience|Daytona Bike Week|3216930997|3|EXC - Truck Loading - 07-03-26-13.24.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|16.67|50.00|24.00|6.438043|3|3|80.29605|2.654048|46.94003|0.5899659|1.161497|4.10944|300.3572|1.249165|10|2|4|246.2732|252.8889|32.22026|15.18796|4|1.673099|20.5472|4|3|0|0|
3/7/2026 1:22:00 PM|Construction Simulator Experience|Daytona Bike Week|9044665897|3|EXC - Truck Loading - 07-03-26-13.22.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|22.22|25.00|28.00|4.771602|0|0|74.85501|2.422654|16.27432|0.6100863|1.162492|4.683605|300.5269|1.263771|10|5|1|336.6283|253.7838|34.06628|28.89958|1|6.931893|28.10163|16|6|3.00673|0|
3/7/2026 1:17:00 PM|Construction Simulator Experience|Daytona Bike Week|2073997119|3|EXC - Truck Loading - 07-03-26-13.17.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|100.00|32.00|0.7047001|0|0|0|0.3646635|0|0|0|0|14.45467|0.05276461|10|0|0|0|14.45467|0|0|0|0|0|0|0|0|0|
3/7/2026 1:15:00 PM|Construction Simulator Experience|Daytona Bike Week|9045403511|3|EXC - Truck Loading - 07-03-26-13.15.xml|False|||100.00|83.33|50.00|80.00|5.859626|0|0|108.9747|2.616702|9.493304|1.5676|2.369196|6.919692|237.6091|0.990442|10|7|1|839.6848|202.0604|48.44387|33.30925|0|10.43994|55.42131|9|8|0|0|
3/7/2026 1:15:00 PM|Construction Simulator Experience|Daytona Bike Week|9048068155|3|EXC - Truck Loading - 07-03-26-13.15.xml|False|||100.00|72.22|50.00|72.00|5.518391|0|0|112.3614|2.483636|8.115341|1.232036|1.858139|5.883061|241.8419|1.013747|10|10|1|963.3142|199.5661|51.13152|51.73812|0|14.76689|64.71382|11|9|0|0|
3/7/2026 1:09:00 PM|Construction Simulator Experience|Daytona Bike Week|9413909566|3|EXC - Truck Loading - 07-03-26-13.09.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|100.00|32.00|2.381568|0|0|0|1.038871|0|0|0|0|26.45292|0.1066483|10|0|0|0|26.45292|0|0|0|0|0|0|0|0|0|
3/7/2026 1:09:00 PM|Construction Simulator Experience|Daytona Bike Week|3309874017|3|EXC - Truck Loading - 07-03-26-13.09.xml|False|||100.00|55.56|25.00|56.00|5.225277|0|0|89.23038|2.089245|9.858714|1.565526|1.911351|4.494712|277.6064|1.151199|10|7|1|408.0572|202.8654|59.774|55.27118|0|10.21809|31.46647|13|7|0.5164211|0|
3/7/2026 1:09:00 PM|Construction Simulator Experience|Daytona Bike Week|9413748674|3|EXC - Truck Loading - 07-03-26-13.09.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|100.00|38.89|50.00|48.00|5.559388|0|0|82.71096|2.858299|17.70322|1.258028|1.997399|5.342005|300.3106|1.259992|10|5|1|320.1888|238.1801|41.9428|35.65541|0|6.75267|26.71002|4|6|0|0|
3/7/2026 1:06:00 PM|Construction Simulator Experience|Daytona Bike Week|4078530102|3|EXC - Truck Loading - 07-03-26-13.06.xml|False|||100.00|44.44|25.00|48.00|5.212639|0|0|71.74384|2.238664|11.85661|1.05428|1.873616|5.998965|253.509|1.047378|10|4|1|425.9469|200.6493|40.9369|21.67292|1|6.238071|29.99483|14|4|5.983057|0|
3/7/2026 1:02:00 PM|Construction Simulator Experience|Daytona Bike Week|3522016801|3|EXC - Truck Loading - 07-03-26-13.02.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|100.00|50.00|25.00|52.00|5.78679|0|0|89.91394|2.842453|8.539973|1.521824|2.26071|4.869906|301.1818|1.266424|10|8|2|644.4136|231.7115|53.17339|42.93399|1|12.0524|53.91269|16|11|3.001585|0|
3/7/2026 1:00:00 PM|Construction Simulator Experience|Daytona Bike Week|7543664790|3|EXC - Truck Loading - 07-03-26-13.00.xml|False|||66.67|50.00|25.00|48.00|4.986929|0|0|70.20883|2.414775|11.81663|1.566677|1.969803|3.08523|251.7378|1.049683|10|6|1|264.7283|203.2847|34.4296|31.22515|0|6.902491|18.5117|22|6|0.8472043|0|
3/7/2026 12:56:00 PM|Construction Simulator Experience|Daytona Bike Week|3524643566|3|EXC - Truck Loading - 07-03-26-12.56.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|100.00|32.00|1.487236|0|0|0|0.9842331|0|0|0|0|34.74454|0.1425562|10|0|0|0|13.32565|1.534382|0.7701296|0|0|0|0|0|0|0|
3/7/2026 12:54:00 PM|Construction Simulator Experience|Daytona Bike Week|5618667838|3|EXC - Truck Loading - 07-03-26-12.54.xml|False|||66.67|27.78|25.00|32.00|6.978589|1|0|63.30175|2.432692|12.40028|1.037657|1.53209|3.45962|278.6713|1.159613|10|5|1|268.3853|235.2459|39.4542|24.06341|0|5.61466|20.77535|65|8|0.0187057|0|
3/7/2026 12:52:00 PM|Construction Simulator Experience|Daytona Bike Week|5617796377|3|EXC - Truck Loading - 07-03-26-12.52.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|16.67|25.00|24.00|4.664413|0|0|92.18588|1.838743|36.3777|0.9480625|1.614903|4.893911|300.8105|1.264886|10|2|1|117.1374|222.6482|28.09766|6.677666|1|1.994645|9.787823|2|1|5.990578|0|
3/7/2026 12:46:00 PM|Construction Simulator Experience|Daytona Bike Week|4074170220|3|EXC - Truck Loading - 07-03-26-12.46.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|33.33|25.00|36.00|5.029722|1|0|101.1372|2.280657|32.63735|1.333366|1.656821|9.150162|142.4583|0.5988275|10|1|1|397.7271|115.875|11.81404|4.483594|0|0|15.73875|8|2|1.211288|0|
3/7/2026 12:32:00 PM|Construction Simulator Experience|Daytona Bike Week|7605227957|3|EXC - Truck Loading - 07-03-26-12.32.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|44.44|50.00|48.00|7.00122|0|0|80.31083|2.797852|8.395662|1.430231|2.065249|4.370446|300.2509|1.249609|10|7|1|471.6138|252.7833|41.29081|27.86821|0|9.975249|39.33401|15|11|0|0|
3/7/2026 12:24:00 PM|Construction Simulator Experience|Daytona Bike Week|5085797306|3|EXC - Truck Loading - 07-03-26-12.24.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|100.00|27.78|50.00|40.00|5.152156|0|0|94.3507|2.014818|17.73412|1.198197|1.635752|9.435245|302.6559|1.239115|10|3|1|448.9174|255.2873|33.47858|11.00791|0|4.409249|37.74098|5|2|0|0|
3/7/2026 12:20:00 PM|Construction Simulator Experience|Daytona Bike Week|7043457792|3|EXC - Truck Loading - 07-03-26-12.20.xml|False|||100.00|38.89|25.00|44.00|5.549534|0|0|52.02208|2.243183|11.92401|1.230742|1.989259|5.809371|272.4012|1.146026|10|5|1|384.7595|166.9466|36.06693|30.7454|0|6.370298|29.11359|11|6|1.978117|0|
3/7/2026 12:18:00 PM|Construction Simulator Experience|Daytona Bike Week|8643782309|3|EXC - Truck Loading - 07-03-26-12.18.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|44.44|25.00|44.00|6.03701|1|0|79.71888|2.439829|15.96561|1.608687|2.331595|5.588417|305.9652|1.279455|10|4|1|328.7678|237.6413|29.77948|35.21095|0|5.032905|27.94208|8|5|0.6698428|0|
3/7/2026 12:14:00 PM|Construction Simulator Experience|Daytona Bike Week|5616546310|3|EXC - Truck Loading - 07-03-26-12.14.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|100.00|27.78|25.00|36.00|5.235521|0|0|61.13267|2.114413|7.853793|1.115682|1.793971|2.371956|303.7049|1.272007|10|4|1|309.2787|250.8766|25.74438|11.87088|1|4.170766|26.09151|16|6|0.4752844|0|
3/7/2026 12:13:00 PM|Construction Simulator Experience|Daytona Bike Week|5149437643|3|EXC - Truck Loading - 07-03-26-12.13.xml|False|||100.00|44.44|25.00|48.00|6.180889|0|0|88.67669|2.336655|13.73732|1.579489|2.132833|6.293561|279.0217|1.16008|10|5|1|407.5635|224.1849|54.63477|48.00055|0|7.233792|31.58863|6|7|3.487716|0|
3/7/2026 12:11:00 PM|Construction Simulator Experience|Daytona Bike Week|9046137810|3|EXC - Truck Loading - 07-03-26-12.11.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|22.22|25.00|28.00|5.831341|1|0|92.8315|2.221283|38.08218|1.351893|2.246348|9.937379|300.5039|1.262946|10|2|2|357.1458|247.3076|17.13317|16.82272|1|2.414397|29.81214|15|2|1.251575|0|
3/7/2026 12:03:00 PM|Construction Simulator Experience|Daytona Bike Week|4044508425|3|EXC - Truck Loading - 07-03-26-12.03.xml|False|||33.33|38.89|25.00|36.00|6.010185|1|2|77.81079|2.300358|14.81106|1.264149|1.704297|6.157864|290.1212|1.215612|10|5|1|458.9089|218.9737|39.73882|36.28104|0|6.997366|36.98312|19|6|4.632549|0|
3/7/2026 12:00:00 PM|Construction Simulator Experience|Daytona Bike Week|9044694768|3|EXC - Truck Loading - 07-03-26-12.00.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|5.56|100.00|28.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3/7/2026 11:55:00 AM|Construction Simulator Experience|Daytona Bike Week|5706513610|3|EXC - Truck Loading - 07-03-26-11.55.xml|False|||33.33|61.11|25.00|52.00|7.364412|2|0|103.0945|2.276491|6.581804|1.418083|2.00661|5.563527|300.657|1.222539|10|8|1|533.7352|239.2457|62.71304|43.78696|0|10.00501|44.57534|21|10|1.933405|0|
3/7/2026 11:47:00 AM|Construction Simulator Experience|Daytona Bike Week|8199239670|3|EXC - Truck Loading - 07-03-26-11.47.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|100.00|32.00|2.129979|0|0|0|0.8736771|0|0|0|0|23.53093|0.09745293|10|0|0|0|23.53093|0.9529859|0|0|0|0|0|0|0|0|
3/7/2026 11:46:00 AM|Construction Simulator Experience|Daytona Bike Week|9802561332|3|EXC - Truck Loading - 07-03-26-11.46.xml|False|||66.67|77.78|25.00|68.00|5.916408|1|0|109.2082|2.348599|5.651746|1.399518|1.881319|7.718552|235.4428|0.9793336|10|9|1|1064.599|193.5915|45.6071|48.88295|0|13.96587|69.6256|17|9|0.0810041|0|
3/7/2026 11:36:00 AM|Construction Simulator Experience|Daytona Bike Week|5063375442|3|EXC - Truck Loading - 07-03-26-11.36.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|75.00|28.00|1.884446|0|0|0|0.8619161|0|0|0|0|56.10339|0.2385711|10|0|0|0|31.95081|4.219799|6.128659|0|0|0|0|1|0|0|
